index;author;title
173;"Serna-Giraldo, Carlos Augusto";"Resistência à corrosão intergranular do aço inoxidável ferrítico UNS S43000: avaliação por método de reativação eletroquímica, efeito de tratamento isotérmico e mecanismo de sensitização."
174;"Herrera Pulgarín, Clara Inés";"Estudo dos fenômenos que ocorrem durante o recozimento dos aços inoxidáveis austeníticos 304L e 316L deformados em várias temperaturas."
175;"Peres, Fabiano Moreno";"Métodos de mecânica da fratura aplicados a polietileno de média densidade destinado à extrusão de tubos."
176;"Correia, Fábio Conte";"Copolímeros emissores de luz contendo grupos fluoreno e quinolina: preparação, caracterização e montagem de LEDs."
177;"Zimmermann, Angelo José de Oliveira";"Encruamento, recristalização e textura cristalográfica de zircônio puro e da liga Zircaloy-4."
178;"Beraldo, Camila Haga";"Efeito da temperatura de envelhecimento sobre as propriedades mecânicas e resistência à corrosão por pite do aço inoxidável martensítico endurecido por precipitação UNS S46500."
179;"Amurin, Leice Gonçalves";"O estudo do comportamento reológico de nanocompósitos de copolímeros em bloco contendo nanocargas."
180;"Castro, Maria Leonora de";"Copolímeros estatísticos biodegradáveis de epsilon-caprolactona e L,L-dilactídeo - síntese, caracterização e propriedades."
181;"Echeverri, Edwan Anderson Ariza";"Análise numérica e experimental de um aço TRIP submetido aos processos de estampagem a quente e têmpera e partição (Q&P)."
182;"Recco, Abel André Cândido";"Estudo da obtenção e das propriedades dos filmes de TiN e TiC depositados sobre aços ferramentas AISI H13 e D2 nitretados e não nitretados."
183;"Brandão, Bryane Prando";"Influência do tempo de imersão em solução aquosa contendo H2S  sobre a tenacidade de tubo API 5L X65 sour avaliada a partir de ensaio Charpy"
184;"Oliveira, Camila Fernanda de Paula";"Obtenção e caracterização de amido termoplástico e de suas misturas com polipropileno."
185;"Abreu, Míriam Antonio de";"Reciclagem do resíduo de cromo da indústria do curtume como pigmentos cerâmicos."
186;"Serbino, Edison Marcelo";"Estudo dos mecanismos de fadiga e análise de desempenho em mola para válvula automotiva em regime de alto e ultra-alto ciclo."
187;"Ribeiro, Anderson Clayton Nascimento";"Avaliação da soldagem do aço naval AH36 microligado soldado pelo processo arco submerso com um e dois arames."
188;"Ogata, Paulo Henrique";"Compósitos ferro-grafita para componentes de motores com propriedades tribológicas melhoradas."
189;"Sekeres, Thiago de Souza";"Inter-relação entre parâmetros de rugosidade 2D/3D e a estampabilidade de chapas de aço de baixo carbono laminadas a frio para a indústria automotiva."
190;"Sánchez González, Adriana Maria";"Cristalização de um vidro de basalto."
191;"Yoshikawa, Daniel Sierra";"Correlação entre microestrutura e comportamento de corrosão em duas ligas do sistema Al-Fe-Si produzidas pelos processos industriais de lingotamento contínuo e semi-contínuo."
192;"Ribeiro, Alcidio Pinheiro";"Avaliação do uso de resíduos sólidos inorgânicos da produção de celulose em materiais cerâmicos."
193;"Souza, André Rangel";"Obtenção e caracterização de compostos de poli(etér-siloxano) e titanato de bário."
194;"Lyra, Jorge Santos";"Estudo da influência de policarboxilato comercial na hidratação, reologia e físico-química de superfície do cimento."
195;"Almeida, Alan Barros de";"Detecção da transformação da austenita retida por deformação plástica em aços para gasodutos classe API 5L X80 através de medidas magnéticas."
196;"Silva, Claudia Regina Serantoni da";"Fadiga térmica de ferros fundidos brancos multicomponentes."
197;"Castro, Edmilson Renato de";"Contribuição ao estudo da redução carbotérmica de minério de ferro empregando energia de micro-ondas."
198;"Mamani-Calcina, Elmer Antonio";"Microanálise de inclusões não-metálicas de artefatos ferrosos: investigação da assinatura química de procedência (Real Fábrica de Ferro São João de Ipanema, Sítio de Afonso Sardinha, Sítio de Missões e Mossend Iron Works) por análise hierárquica de conglomerados."
